SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
觀音,桃園市,44,,良好,1,0.14,0.2,49,47,23,7,2.4,2.6,0.3,6.7,243,2020-08-26 16:00,8,22,2,121.082761,25.035503,19
大園,桃園市,45,,良好,2.1,0.16,0.2,54,49,24,2,3.9,6.2,2.4,4.5,226,2020-08-26 16:00,8,27,2,121.201811,25.060344,18
桃園,桃園市,33,,良好,1.6,0.3,0.3,33,34,20,10,15,19,4.2,1.3,230,2020-08-26 16:00,10,21,,121.304383,24.995368,17
大同,臺北市,42,,良好,2.8,1.45,1.5,-,,26,11,37,82,45,,,2020-08-26 16:00,13,30,3,121.513311,25.0632,16
松山,臺北市,40,,良好,0.7,0.18,0.3,36,43,13,7,,,,1.9,37,2020-08-26 16:00,10,19,2,121.578611,25.05,15
古亭,臺北市,44,,良好,1.4,0.25,0.3,39,47,15,10,9.4,12,2.6,1.7,130,2020-08-26 16:00,11,19,2,121.529556,25.020608,14
萬華,臺北市,43,,良好,1.2,0.34,0.3,37,46,15,5,16,20,3.9,2.1,157,2020-08-26 16:00,8,20,3,121.507972,25.046503,13
中山,臺北市,38,,良好,0.9,0.29,0.5,44,41,16,4,11,16,4.4,2.9,164,2020-08-26 16:00,9,23,3,121.526528,25.062361,12
士林,臺北市,48,,良好,2.2,0.22,0.2,47,52,21,7,9.9,14,4.4,2,105,2020-08-26 16:00,10,29,3,121.515389,25.105417,11
淡水,新北市,44,,良好,1.2,0.23,0.2,46,48,13,3,9.4,10,0.7,,,2020-08-26 16:00,9,15,2,121.449239,25.1645,10
林口,新北市,44,,良好,2.5,0.27,0.2,48,47,19,7,14,19,4.7,3.2,96,2020-08-26 16:00,11,21,3,121.376869,25.077197,9
菜寮,新北市,45,,良好,0.5,0.35,0.3,40,47,69,14,13,16,3.3,3.2,156,2020-08-26 16:00,12,49,2,121.481028,25.06895,8
新莊,新北市,44,,良好,1.8,0.27,0.2,43,48,20,10,13,16,2.8,2.9,96,2020-08-26 16:00,10,24,5,121.4325,25.037972,7
板橋,新北市,40,,良好,1.9,0.38,0.3,33,43,19,7,20,29,8.1,2.5,135,2020-08-26 16:00,9,20,3,121.458667,25.012972,6
土城,新北市,42,,良好,1,0.2,0.2,43,45,18,9,9.4,13,3.8,2,158,2020-08-26 16:00,10,21,2,121.451861,24.982528,5
新店,新北市,51,臭氧八小時,普通,1.7,0.23,0.2,39,55,10,8,6,7.6,1.6,3.1,152,2020-08-26 16:00,11,15,2,121.537778,24.977222,4
萬里,新北市,64,臭氧八小時,普通,1.3,0.15,0.2,56,59,22,8,2.8,4.2,1.5,4.2,212,2020-08-26 16:00,11,23,2,121.689881,25.179667,3
汐止,新北市,45,,良好,1.5,0.21,0.3,45,49,23,11,7.9,10,2.5,1.6,188,2020-08-26 16:00,11,22,2,121.6423,25.067131,2
基隆,基隆市,51,臭氧八小時,普通,1.3,0.19,0.3,46,55,17,6,6.6,7.7,1.1,1.1,313,2020-08-26 16:00,11,22,2,121.760056,25.129167,1
