sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101209,YouBike2.0_臺大資訊大樓,40,0,大安區,2023-05-08 19:53:05,25.02101,121.54153,辛亥路二段(臺大外語學院外),Daan Dist.,YouBike2.0_NTU Information Building,Sec. 2， Xinhai Rd.(NTU Language Center),40,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:53:05,2023-05-08
500101218,YouBike2.0_臨江公園,13,0,大安區,2023-05-08 20:29:04,25.02832,121.55592,通化街143巷33號對側,Daan Dist.,YouBike2.0_Linjiang Park,No. 33， Ln. 143， Tonghua St. (Opposite),9,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:29:04,2023-05-08
500101221,YouBike2.0_忠孝東路四段248巷口,15,0,大安區,2023-05-08 20:38:04,25.04132,121.55393,忠孝東路四段230號前,Daan Dist.,YouBike2.0_Ln. 248， Sec. 4， Zhongxiao E. Rd.,No. 230， Sec. 4， Zhongxiao E. Rd.,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:38:04,2023-05-08
500101224,YouBike2.0_羅斯福浦城街口,15,0,大安區,2023-05-08 20:23:04,25.02208,121.52678,羅斯福路三段117號前,Daan Dist.,YouBike2.0_Roosevelt Rd. & Pucheng St. Intersection,No. 117， Sec. 3， Roosevelt Rd.,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:23:04,2023-05-08
500103002,YouBike2.0_臺北市立圖書館大同分館,20,0,大同區,2023-05-08 20:42:05,25.0741,121.51349,重慶北路三段318號旁,Datong Dist,YouBike2.0_Taipei Public Library DaTong Branch,No. 318， Sec. 3， Chongqing N Rd.,20,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:42:05,2023-05-08
500103027,YouBike2.0_捷運雙連站(2號出口),41,0,大同區,2023-05-08 20:44:14,25.05826,121.52063,萬全街22號對面,Datong Dist,YouBike2.0_MRT Shuanglian Sta. (Exit 2),No. 22， Wanquan St. (Opposite),41,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:14,2023-05-08
500103033,YouBike2.0_圓山線形公園,14,0,大同區,2023-05-08 20:21:06,25.06867,121.51993,玉門街/民族西路(西北側),Datong Dist,YouBike2.0_Linear Park - Yuanshan,Minzu Rd. & Minzu W. Rd. Intersection (Northwest),14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:21:06,2023-05-08
500103060,YouBike2.0_成淵高中,14,0,大同區,2023-05-08 20:26:04,25.06036,121.51996,錦西街與錦西街52巷口東北側,Datong Dist,YouBike2.0_ChengYuan High School,Jinxi St. & Ln. 52， Jinxi St. Intersection (Northeast),14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:26:04,2023-05-08
500104013,YouBike2.0_天母北天玉街口,15,0,士林區,2023-05-08 20:24:04,25.12011,121.52652,天母北路33號(前),Shilin Dist,YouBike2.0_Tianmu N. Rd. & Tianyu St. Intersection,No. 33， Tianmu N. Rd.,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:24:04,2023-05-08
500104016,YouBike2.0_劍潭海外青年活動中心,23,0,士林區,2023-05-08 20:30:25,25.07994,121.52426,中山北路4段/通河街口,Shilin Dist,YouBike2.0_Chientan Youth Activity Center,Sec. 4， Zhongshan N. Rd. & Tonghe St. Intersection,23,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:30:25,2023-05-08
500104018,YouBike2.0_忠誠路一段173巷口,11,0,士林區,2023-05-08 20:30:25,25.10813,121.5304,忠誠路一段177號(前),Shilin Dist,YouBike2.0_No. 173， Sec. 1， Zhongcheng Rd. Intersection,No. 177， Sec. 1， Zhongcheng Rd.,9,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:30:25,2023-05-08
500104020,YouBike2.0_忠誠公園,14,0,士林區,2023-05-08 20:21:06,25.10399,121.52593,忠誠路一段18號(對面),Shilin Dist,YouBike2.0_Zhongcheng Park,No. 18， Sec. 1， Zhongcheng Rd.,14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:21:06,2023-05-08
500104026,YouBike2.0_前港公園(前港街),19,0,士林區,2023-05-08 19:56:04,25.0848,121.52125,前港街48號(對面),Shilin Dist,YouBike2.0_Qiangang Park (Qiangang St),No. 48， Qiangang St. (Opposite),19,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:56:04,2023-05-08
500104027,YouBike2.0_百齡高中,15,0,士林區,2023-05-08 20:40:09,25.08736,121.52272,承德路四段179巷/承德路4段口,Shilin Dist,YouBike2.0_Bailing High School,Ln. 179， Sec. 4， Chengde Rd. Intersection,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:40:09,2023-05-08
500104028,YouBike2.0_捷運芝山站(2號出口),21,0,士林區,2023-05-08 20:38:04,25.10364,121.52219,福華路151號(對面),Shilin Dist,YouBike2.0_MRT Zhishan Station,No. 151， Fuhua Rd. (Opposite),21,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:38:04,2023-05-08
500104030,YouBike2.0_捷運劍潭站(2號出口),79,0,士林區,2023-05-08 20:41:04,25.08288,121.52455,基河路18號(對面),Shilin Dist,YouBike2.0_MRT Jianta Station,No.18， Jihe Rd. (Opposite),79,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:41:04,2023-05-08
500104037,YouBike2.0_兒童新樂園,23,0,士林區,2023-05-08 19:21:04,25.09631,121.51449,承德路五段55號(旁公車亭),Shilin Dist,YouBike2.0_Taipei Children's Amusement Park,No. 55， Sec. 5， Chengde Rd.,23,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:21:04,2023-05-08
500104039,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,25.09619,121.5223,華聲街17號(南側路側),Shilin Dist,YouBike2.0_Huasheng Park,No. 17， Huasheng St. (South),27,0,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-02-03 10:09:04,2023-02-03
500104042,YouBike2.0_銘傳大學,30,0,士林區,2023-03-16 20:11:04,25.08771,121.52677,中山北路五段250號(銘傳大學對側),Shilin Dist,YouBike2.0_Ming Chuan University Taipei Campus,No. 250， Sec. 5， Zhongshan N. Rd.,29,0,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-03-16 20:11:04,2023-03-16
500104045,YouBike2.0_聯合醫院陽明院區,15,0,士林區,2023-05-08 19:21:04,25.10455,121.53195,雨聲街105號(南側),Shilin Dist,YouBike2.0_Taipei City Hospital Yangming Branch,No. 105， Yusheng St. (South),15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:21:04,2023-05-08
500104046,YouBike2.0_捷運芝山站(1號出口),36,0,士林區,2023-05-08 20:44:14,25.10225,121.52286,福華路114號(對面),Shilin Dist,YouBike2.0_MRT Zhishan Sta. (Exit 1),No. 114， Fuhua Rd. (Opposite),36,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:44:14,2023-05-08
500104053,YouBike2.0_重慶北葫東街口,15,0,士林區,2023-05-08 20:40:09,25.08393,121.51169,重慶北路四段177號(前),Shilin Dist,YouBike2.0_Sec. 4， Chongqing N. Rd.& Hudong St Intersection,No. 177， Sec. 4， Chongqing N. Rd.,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:40:09,2023-05-08
500104071,YouBike2.0_聖山綠地,15,0,士林區,2023-05-08 20:37:04,25.10696,121.53234,忠義街94號(旁),Shilin Dist,YouBike2.0_Shengshan Greens,No. 94， Zhongyi St.,8,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:37:04,2023-05-08
500104075,YouBike2.0_中正基河路口,28,0,士林區,2023-05-08 20:42:06,25.0933,121.51962,中正路420號前,Shilin Dist,YouBike2.0_Jhongjheng Rd. & Jihe Rd. Intersection,No. 420， Jhongjheng Rd.,28,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:42:06,2023-05-08
500104082,YouBike2.0_通河街76巷/承德路四段10巷口,14,0,士林區,2023-05-08 20:36:04,25.08019,121.5202,承德路四段10巷37號(旁),Shilin Dist,YouBike2.0_Ln. 76， Tonghe St. & Ln. 10， Sec. 4， Chengde Rd. Intersection,No. 37， Ln. 10， Sec. 4， Chengde Rd.,9,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:36:04,2023-05-08
500104083,YouBike2.0_芝山聖佑宮,15,0,士林區,2023-05-08 19:18:05,25.10455,121.53025,雨聲街90號旁,Shilin Dist,YouBike2.0_Zhishan Shengyou Temple,No. 90， Yusheng St.,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:18:05,2023-05-08
500104087,YouBike2.0_基河文林路口,16,0,士林區,2023-05-08 20:08:04,25.08637,121.5247,基河路3-1號對側人行道,Shilin Dist,YouBike2.0_Jihe Rd. & Wenlin Rd. Intersection,No. 3-1， Jihe Rd. (Opposite),16,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:08:04,2023-05-08
500104104,YouBike2.0_德行公園,14,0,士林區,2023-05-08 20:25:04,25.10585,121.52376,德行西路33號對側,Shilin Dist,YouBike2.0_Dexing Park,No. 33， Dexing W. Rd. (Opposite),14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:25:04,2023-05-08
500104109,YouBike2.0_銘傳大學(中山北路五段280巷口),23,0,士林區,2023-05-08 19:41:04,25.08762,121.52711,中山北路五段280巷口,Shilin Dist,YouBike2.0_MCU (Ln. 280， Sec. 5， Zhongshan N. Rd.),Ln. 280， Sec. 5， Zhongshan N. Rd.,23,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:41:04,2023-05-08
500104112,YouBike2.0_劍潭郵局,16,0,士林區,2023-05-08 19:59:04,25.08182,121.52431,基河路/承德路四段77巷口(捷運橋下),Shilin Dist,YouBike2.0_Shihlin Jiantan Post Office,Jihe Rd. & Ln. 77， Sec. 4， Chengde Rd. Intersection (Under Bridge),16,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:59:04,2023-05-08
500105007,YouBike2.0_捷運景美站(2號出口),63,0,文山區,2023-05-08 20:39:04,24.99366,121.54124,景文街1號(對面),Wenshan Dist,YouBike2.0_MRT Jingmei Sta. (Exit 2),No. 1， Jingwen St. (Opposite),63,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:39:04,2023-05-08
500105015,YouBike2.0_師範大學公館校區,14,0,文山區,2023-05-08 20:13:04,25.00792,121.53731,汀州路四段77號(旁),Wenshan Dist,YouBike2.0_National Taiwan Normal University Gongguan Campus,No. 77， Sec. 4， Tingzhou Rd.,14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:13:04,2023-05-08
500105021,YouBike2.0_捷運萬芳社區站,31,0,文山區,2023-05-08 20:01:04,24.99886,121.56769,萬芳路60號(西側廣場),Wenshan Dist,YouBike2.0_MRT Wanfang Community Sta.,No. 60， Wanfang Rd. (West),31,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:01:04,2023-05-08
500105023,YouBike2.0_捷運辛亥站,29,0,文山區,2023-05-08 20:45:05,25.00467,121.55684,辛亥路四段114號(旁人行道),Wenshan Dist,YouBike2.0_MRT Xinhai Sta.,No. 114， Sec. 4， Xinhai Rd.,29,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:45:05,2023-05-08
500105034,YouBike2.0_老泉街籃球場,14,0,文山區,2023-05-08 18:33:05,24.97619,121.5583,老泉街26巷老泉街口(籃球場前),Wenshan Dist,YouBike2.0_Laoquan St. Basketball Court,Ln. 26， Laoquan St. Intersection,14,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 18:33:05,2023-05-08
500105035,YouBike2.0_文山行政中心,18,0,文山區,2023-05-08 20:01:04,24.98959,121.56959,木柵路三段220號(前),Wenshan Dist,YouBike2.0_Wenshan District Admin. Center,No. 220， Sec. 3， Muzha Rd.,18,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:01:04,2023-05-08
500105048,YouBike2.0_捷運萬芳醫院站(興隆路三段115巷),20,0,文山區,2023-05-08 20:39:04,24.99939,121.55848,興隆路三段115巷2號,Wenshan Dist,YouBike2.0_MRT Wanfang Hospital Sta. (Ln. 115， Sec. 3， Xinglong Rd.),No. 2， Ln. 115， Sec. 3， Xinglong Rd.,20,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:39:04,2023-05-08
500105050,YouBike2.0_辛亥生態公園,18,0,文山區,2023-05-08 19:55:12,25.00348,121.55642,辛亥路四段199號,Wenshan Dist,YouBike2.0_Xinhai Ecological Park,No. 199， Sec. 4， Xinhai Rd.,18,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:55:12,2023-05-08
500105053,YouBike2.0_仙岩公園,11,0,文山區,2023-05-08 20:27:04,24.99797,121.54982,仙岩路16巷37號旁,Wenshan Dist,YouBike2.0_Sian Yan Park,No. 37， Ln. 16， Xianyan Rd.,11,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:27:04,2023-05-08
500105056,YouBike2.0_移民署訓練中心,13,0,文山區,2023-05-08 20:45:15,24.99271,121.55865,興隆路三段306號,Wenshan Dist,YouBike2.0_National Immigration Agency Training Center,No. 306， Sec. 3， Xinglong Rd.,13,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:45:15,2023-05-08
500105057,YouBike2.0_海巡署(南側),10,0,文山區,2023-05-08 20:42:06,24.99472,121.55949,興隆路三段211號對側(公車亭後),Wenshan Dist,YouBike2.0_Coast Guard Administration (South),No. 211， Sec. 3， Xinglong Rd. (Opposite),10,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:42:06,2023-05-08
500105068,YouBike2.0_景興國中,10,0,文山區,2023-05-08 19:55:12,24.99609,121.54284,三福街4巷與景興路46巷口,Wenshan Dist,YouBike2.0_Jing Xing Junior High School,Ln. 4， Sanfu St. & Ln. 46， Jingxing Rd. Intersection,10,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 19:55:12,2023-05-08
500105071,YouBike2.0_景行公園,15,0,文山區,2023-05-08 20:39:04,24.99279,121.54255,景中街與景中街30巷口,Wenshan Dist,YouBike2.0_Jing Sing Park,Jingzhong St. & Ln. 30， Jingzhong St. Intersection,15,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:39:04,2023-05-08
500106019,YouBike2.0_孫立人將軍官邸,23,0,中正區,2023-05-08 20:14:04,25.02933,121.51854,南昌路一段136號前,Zhongzheng Dist,YouBike2.0_Gen.Sun Li-Jen Residence,No. 136， Nanchang Rd.,23,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:14:04,2023-05-08
500106022,YouBike2.0_捷運中正紀念堂站(3號出口),18,0,中正區,2023-05-08 20:43:04,25.03239,121.51866,金華街17號前方,Zhongzheng Dist,YouBike2.0_MRT C.K.S. Memorial Hall Sta. (Exit 3),No. 17， Jinhua St.,18,1,2023-05-08 20:45:30,2023-05-08 20:45:55,2023-05-08 20:43:04,2023-05-08
