sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101138,YouBike2.0_仁愛安和路口,25,0,大安區,2023-05-08 21:49:13,25.03754,121.55285,仁愛路四段258號前,Daan Dist.,YouBike2.0_Sec. 4， Ren'ai Rd & Sec. 1， Anhe Rd Intersection,No. 74， Sec. 4， Ren'ai Rd.,25,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:13,2023-05-08
500101150,YouBike2.0_捷運忠孝新生站(4號出口),34,0,大安區,2023-05-08 21:49:03,25.04239,121.53324,忠孝新生路口北側,Daan Dist.,YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 4),Zhongxiao & Xinsheng S. Rd Intersection. (North),34,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:03,2023-05-08
500101157,YouBike2.0_東豐公園,19,0,大安區,2023-05-08 21:41:04,25.03569,121.5451,東豐街24號(旁公園路側),Daan Dist.,YouBike2.0_Dongfeng Park,No. 24， Dongfeng St.,19,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:41:04,2023-05-08
500101160,YouBike2.0_捷運忠孝敦化站(2號出口),17,0,大安區,2023-05-08 21:18:04,25.04153,121.5524,忠孝東路四段221號,Daan Dist.,YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 2),No. 221， Sec. 4， Zhongxiao E. Rd.,17,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:18:04,2023-05-08
500101166,YouBike2.0_捷運科技大樓站(台北教育大學),46,0,大安區,2023-05-08 21:49:13,25.02469,121.54459,和平東路二段134號前,Daan Dist.,YouBike2.0_MRT Technology Building Station,No. 134， Sec. 2， Heping E. Rd.,46,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:13,2023-05-08
500101171,YouBike2.0_仁愛延吉街口,25,0,大安區,2023-05-08 21:49:13,25.03748,121.55564,仁愛路四段376號前,Daan Dist.,YouBike2.0_Renai & Yanji Intersection,No. 376， Sec. 4， Ren'ai Rd.,25,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:13,2023-05-08
500101173,YouBike2.0_敦化南路二段103巷口,24,0,大安區,2023-05-08 21:26:04,25.0287,121.54904,敦化南路二段99號前,Daan Dist.,YouBike2.0_Ln. 103，Sec. 2，Dunhua S. Rd.,No. 99， Sec. 2， Dunhua S. Rd.,24,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:26:04,2023-05-08
500101179,YouBike2.0_捷運東門站(5號出口),28,0,大安區,2023-05-08 21:49:03,25.03363,121.52962,信義路二段178號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 5),No. 178， Sec. 2， Xinyi Rd.,28,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:03,2023-05-08
500101185,YouBike2.0_辛亥新生路口西北側,12,0,大安區,2023-05-08 21:40:09,25.02267,121.5341,辛亥路一段/新生南路三段(西北側),Daan Dist.,YouBike2.0_Xinhai Rd. & Xinsheng S. Rd. Intersection,Sec. 1， Xinhai Rd. & Sec. 3， Xinsheng S. Rd. Intersection (Northwest),12,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:40:09,2023-05-08
500101186,YouBike2.0_捷運大安站(6號出口),19,0,大安區,2023-05-08 21:43:04,25.03479,121.54376,復興南路一段303號前,Daan Dist.,YouBike2.0_MRT Da’an Sta. (Exit 6),No. 303， Sec. 1， Fuxing S. Rd.,19,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:43:04,2023-05-08
