SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
恆春,屏東縣,25,,良好,1.6,0.1,0.1,27.3,27,12,8,2.2,2.4,0.1,1.9,198,2021/07/27 14:00:00,6,13,1,120.788928,21.958069,61
臺東,臺東縣,30,,良好,0.8,0.11,0.15,32.7,28,23,10,2.4,3.9,1.4,1.7,97,2021/07/27 14:00:00,9,20,0,121.15045,22.755358,62
花蓮,花蓮縣,38,,良好,1.8,0.14,0.15,49.9,36,24,12,2.6,3.6,0.9,3.8,91,2021/07/27 14:00:00,11,,0,121.599769,23.971306,63
陽明,臺北市,44,,良好,0.9,0.13,0.16,62.3,48,27,12,3.5,4,0.4,3.2,350,2021/07/27 14:00:00,10,22,1,121.529583,25.182722,64
宜蘭,宜蘭縣,37,,良好,1.2,0.14,0.16,50.5,40,21,11,2.3,2.7,0.4,3.6,127,2021/07/27 14:00:00,10,19,0,121.746394,24.747917,65
冬山,宜蘭縣,31,,良好,1.5,0.22,0.22,42.4,31,23,14,9,11.8,2.8,4.2,133,2021/07/27 14:00:00,9,25,1,121.792928,24.632203,66
三重,新北市,51,二氧化氮,普通,2.1,0.56,0.87,-,-,42,18,31.9,45.1,13.2,-,-,2021/07/27 14:00:00,15,31,1,121.493806,25.072611,67
中壢,桃園市,32,,良好,1.4,0.46,0.72,,,29,11,19.3,25.6,6.2,1.8,49,2021/07/27 14:00:00,9,23,1,121.221667,24.953278,68
竹山,南投縣,28,,良好,1.4,0.15,0.15,53.4,30,13,8,3.4,4.5,1.1,2.3,259,2021/07/27 14:00:00,7,16,1,120.677306,23.756389,69
永和,新北市,38,,良好,1.4,,0.77,63.4,34,31,18,,,,1.4,0,2021/07/27 14:00:00,11,22,0,121.516306,25.017,70
復興,高雄市,24,,良好,0.8,0.17,0.35,25.2,24,15,5,4.4,7,2.6,0.9,245,2021/07/27 14:00:00,7,16,0,120.312017,22.608711,71
埔里,南投縣,24,,良好,1.7,0.06,0.07,37.7,26,8,8,1.2,2.3,1,3,309,2021/07/27 14:00:00,7,14,1,120.967903,23.968842,72
馬祖,連江縣,49,,良好,0.1,0.12,0.14,60.1,47,26,12,2.7,4.5,1.7,5.5,181,2021/07/27 14:00:00,15,28,0,119.949875,26.160469,75
金門,金門縣,72,細懸浮微粒,普通,1.5,0.26,0.31,85.3,51,48,26,4.3,4.8,0.4,4.1,191,2021/07/27 14:00:00,24,46,1,118.312256,24.432133,77
馬公,澎湖縣,24,,良好,2.5,0.12,0.12,33.8,26,17,2,1.1,3.4,2.3,3,165,2021/07/27 14:00:00,0,14,1,119.566158,23.569031,78
關山,臺東縣,29,,良好,0.1,-,-,35.4,31,,,1.9,2.6,0.6,1.7,198,2021/07/27 14:00:00,7,16,0,121.161933,23.045083,80
麥寮,雲林縣,19,,良好,1.2,0.08,0.13,26.1,20,11,0,2.5,4.1,1.6,3.5,249,2021/07/27 14:00:00,3,15,1,120.251825,23.753506,83
富貴角,新北市,39,,良好,0.5,0.15,0.13,73.6,42,25,8,1.1,1.1,0,2.4,46,2021/07/27 14:00:00,8,21,0,121.54738,25.29228,84
大城,彰化縣,21,,良好,1.8,0.08,0.08,30,22,15,9,,,,1.5,209,2021/07/27 14:00:00,6,16,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,27,,良好,1.4,0.1,0.12,46.3,29,21,10,3,3.2,0.1,1.2,284,2021/07/27 14:00:00,7,16,1,120.58178611,23.95058333,201
臺南(麻豆),臺南市,19,,良好,0.7,0.11,0.15,37.8,21,14,4,2.5,3.5,1,1.7,214,2021/07/27 14:00:00,2,10,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,33,,良好,0.5,0.17,0.22,37.4,32,20,10,0.8,1.7,0.9,1.5,317,2021/07/27 14:00:00,10,21,0,120.37722,22.35222,204
新北(樹林),新北市,30,,良好,0.5,0.2,0.23,53.3,32,17,7,6.9,7.8,0.8,0.6,303,2021/07/27 14:00:00,7,21,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,22,,良好,0.1,0.03,0.07,26.7,24,13,4,4.7,8.2,3.5,2.3,242,2021/07/27 14:00:00,3,11,0,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,41,,良好,0.6,0.17,0.13,59.2,35,41,11,2.6,2.8,0.2,0.5,212,2021/07/27 14:00:00,9,41,0,120.59116667,22.37094722,313
