出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1110912","11108","2457","飛宏","電子零組件業","1346161","1180373","956218","14.045390736656971","40.779717595778365","8887610","7435073","19.53628431086016","-"
"1110912","11108","2458","義隆","半導體業","843824","1076225","1657778","-21.594090455062837","-49.09909529502744","10167236","12513536","-18.75009589615597","-"
"1110912","11108","2459","敦吉","其他電子業","814858","766310","612134","6.335295115553758","33.11758536529583","5009826","4552474","10.046229808231743","-"
"1110912","11108","2460","建通","電子零組件業","184507","203088","350556","-9.149235799259435","-47.36732504935018","2037957","2937889","-30.63192652955915","-"
"1110912","11108","2461","光群雷","其他電子業","518532","511005","518321","1.4729797164411307","0.04070836412184727","4334078","4003074","8.26874546910699","-"
"1110912","11108","2464","盟立","其他電子業","951871","951112","840176","0.07980132728847918","13.294238350059988","7133553","6273591","13.707651646401558","-"
"1110912","11108","2465","麗臺","電腦及週邊設備業","291995","344049","734338","-15.129821624245384","-60.23697534377902","3247507","5964278","-45.55071041289491","本月較去年同期減少60.24%；主係今年大陸市場之人工智能行業應用相關產品的需求不如預期所致。"
"1110912","11108","2467","志聖","電子零組件業","497632","447143","444021","11.291466041065162","12.073978482999678","3504464","3785811","-7.431617690370703","-"
"1110912","11108","2471","資通","資訊服務業","68149","74254","69869","-8.221779298084952","-2.4617498461406346","518569","459961","12.741949860966473","-"
"1110912","11108","2472","立隆電","電子零組件業","798569","880929","917062","-9.349221106354769","-12.920936643324007","7112181","6374374","11.574579715592465","-"
"1110912","11108","2474","可成","其他電子業","2870083","2821398","3246947","1.7255630010370746","-11.606718557463365","18191005","29749052","-38.85181618560484","無"
"1110912","11108","2476","鉅祥","電子零組件業","632854","649311","582832","-2.534532758570238","8.582576111126363","4446932","4165461","6.757259280545418","-"
"1110912","11108","2477","美隆電","其他電子業","201654","318855","313267","-36.75683304323282","-35.628712887089925","2570756","2272609","13.1191507206035","-"
