SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
屏東,屏東縣,38,,良好,2.2,0.19,0.2,23,41,14,2,6.8,7.4,0.6,2.6,301,2020-06-17 18:00,5,17,2,120.488033,22.673081,59
潮州,屏東縣,33,,良好,2.1,0.13,0.1,23,36,17,4,5.9,7.1,1.2,3.5,306,2020-06-17 18:00,6,21,3,120.561175,22.523108,60
恆春,屏東縣,22,,良好,0.6,0.04,0.1,27,24,5,4,0.1,2.1,2,3.2,283,2020-06-17 18:00,3,5,1,120.788928,21.958069,61
臺東,臺東縣,40,,良好,1.3,0.3,0.2,44,43,20,7,5.9,6.9,1,2.9,41,2020-06-17 18:00,5,19,1,121.15045,22.755358,62
花蓮,花蓮縣,38,,良好,1.1,0.24,0.2,37,41,24,4,4.4,6.4,2,0.8,106,2020-06-17 18:00,7,23,1,121.599769,23.971306,63
陽明,臺北市,44,,良好,2.2,0.1,0.1,40,47,15,8,2.7,4.1,1.4,,,2020-06-17 18:00,8,15,1,121.529583,25.182722,64
宜蘭,宜蘭縣,40,,良好,2.1,0.24,0.2,48,43,24,5,3.4,4.1,0.7,2.1,7.9,2020-06-17 18:00,7,22,2,121.746394,24.747917,65
冬山,宜蘭縣,44,,良好,1.3,0.27,0.2,46,48,28,10,8.7,11,2.4,2.4,286,2020-06-17 18:00,12,28,2,121.792928,24.632203,66
三重,新北市,59,細懸浮微粒,普通,2.6,1.46,1.1,-,,29,15,33,84,52,,,2020-06-17 18:00,19,31,3,121.493806,25.072611,67
中壢,桃園市,27,,良好,2.8,1.58,0.9,13,29,24,4,25,72,48,1.4,190,2020-06-17 18:00,8,25,3,121.221667,24.953278,68
竹山,南投縣,36,,良好,1.2,0.1,0.1,29,39,16,4,3.3,5.3,2,1.6,235,2020-06-17 18:00,5,14,1,120.677306,23.756389,69
永和,新北市,54,臭氧八小時,普通,1.7,0.56,0.5,39,56,27,9,16,21,4.7,3,270,2020-06-17 18:00,10,25,2,121.516306,25.017,70
復興,高雄市,22,,良好,1.9,0.34,0.2,20,24,9,2,6.2,9.6,3.4,1.5,276,2020-06-17 18:00,3,7,2,120.312017,22.608711,71
埔里,南投縣,37,,良好,2.1,0.19,0.1,37,40,17,15,5.5,6,0.5,1.8,275,2020-06-17 18:00,11,18,2,120.967903,23.968842,72
馬祖,連江縣,39,,良好,2.5,0.1,0.1,31,42,34,12,8.5,9.9,1.4,4.5,182,2020-06-17 18:00,12,31,3,119.949875,26.160469,75
金門,金門縣,31,,良好,1.9,0.1,0.1,30,34,25,ND,5.1,6.3,1.2,6.4,204,2020-06-17 18:00,7,32,2,118.312256,24.432133,77
馬公,澎湖縣,19,,良好,3.8,0.16,,21,21,12,ND,4.8,6.8,2,2.2,179,2020-06-17 18:00,1,8,2,119.566158,23.569031,78
關山,臺東縣,33,,良好,1.1,-,,34,36,,7,2.7,3.7,1,2.5,355,2020-06-17 18:00,8,16,1,121.161933,23.045083,80
麥寮,雲林縣,22,,良好,1.3,0.1,0.1,23,24,8,2,3.8,5.1,1.3,2.8,238,2020-06-17 18:00,2,8,2,120.251825,23.753506,83
富貴角,新北市,35,,良好,0.4,0.11,0.1,30,38,33,10,2.1,2.6,0.5,4.3,245,2020-06-17 18:00,8,25,1,121.536763,25.298562,84
彰化(大城),彰化縣,28,,良好,1.5,0.17,0.2,26,24,10,2,6.6,9,2.4,3.3,205,2020-06-17 18:00,2,30,2,120.273117,23.843139,202
臺南(麻豆),臺南市,19,,良好,2.3,0.11,0.1,21,21,14,ND,5.1,7,2,1.3,335,2020-06-17 18:00,2,14,1,120.245831,23.179047,203
屏東(琉球),屏東縣,23,,良好,2,0.11,0.1,26,25,1,2,2,3.3,1.3,3.3,317,2020-06-17 18:00,3,5,2,120.377222,22.352222,204
臺南(北門),臺南市,21,,良好,0.1,0.07,0.1,20,23,6,ND,0.6,0.6,0.1,2.9,255,2020-06-17 18:00,2,6,1,120.124444,23.264722,310
